feat_name_tierpsy,feat_name_openworm,feat_name_segworm
head_crawling_amplitude,locomotion.crawling_bends.head.amplitude,/worm/locomotion/bends/head/amplitude
head_crawling_frequency,locomotion.crawling_bends.head.frequency,/worm/locomotion/bends/head/frequency
midbody_crawling_amplitude,locomotion.crawling_bends.midbody.amplitude,/worm/locomotion/bends/midbody/amplitude
midbody_crawling_frequency,locomotion.crawling_bends.midbody.frequency,/worm/locomotion/bends/midbody/frequency
tail_crawling_amplitude,locomotion.crawling_bends.tail.amplitude,/worm/locomotion/bends/tail/amplitude
tail_crawling_frequency,locomotion.crawling_bends.tail.frequency,/worm/locomotion/bends/tail/frequency
foraging_amplitude,locomotion.foraging_bends.amplitude,/worm/locomotion/bends/foraging/amplitude
foraging_speed,locomotion.foraging_bends.angle_speed,/worm/locomotion/bends/foraging/angleSpeed
backward_motion_distance_ratio,locomotion.motion_events.backward.data_ratio,/worm/locomotion/motion/backward/ratio/distance
inter_backward_distance,locomotion.motion_events.backward.distance_between_events,/worm/locomotion/motion/backward/frames/interDistance
backward_distance,locomotion.motion_events.backward.distance_during_events,/worm/locomotion/motion/backward/frames/distance
backward_time,locomotion.motion_events.backward.event_durations,/worm/locomotion/motion/backward/frames/time
backward_motion_frequency,locomotion.motion_events.backward.frequency,/worm/locomotion/motion/backward/frequency
inter_backward_time,locomotion.motion_events.backward.time_between_events,/worm/locomotion/motion/backward/frames/interTime
backward_motion_time_ratio,locomotion.motion_events.backward.time_ratio,/worm/locomotion/motion/backward/ratio/time
forward_motion_distance_ratio,locomotion.motion_events.forward.data_ratio,/worm/locomotion/motion/forward/ratio/distance
inter_forward_distance,locomotion.motion_events.forward.distance_between_events,/worm/locomotion/motion/forward/frames/interDistance
forward_distance,locomotion.motion_events.forward.distance_during_events,/worm/locomotion/motion/forward/frames/distance
forward_time,locomotion.motion_events.forward.event_durations,/worm/locomotion/motion/forward/frames/time
forward_motion_frequency,locomotion.motion_events.forward.frequency,/worm/locomotion/motion/forward/frequency
inter_forward_time,locomotion.motion_events.forward.time_between_events,/worm/locomotion/motion/forward/frames/interTime
forward_motion_time_ratio,locomotion.motion_events.forward.time_ratio,/worm/locomotion/motion/forward/ratio/time
paused_motion_distance_ratio,locomotion.motion_events.paused.data_ratio,/worm/locomotion/motion/paused/ratio/distance
inter_paused_distance,locomotion.motion_events.paused.distance_between_events,/worm/locomotion/motion/paused/frames/interDistance
paused_distance,locomotion.motion_events.paused.distance_during_events,/worm/locomotion/motion/paused/frames/distance
paused_time,locomotion.motion_events.paused.event_durations,/worm/locomotion/motion/paused/frames/time
paused_motion_frequency,locomotion.motion_events.paused.frequency,/worm/locomotion/motion/paused/frequency
inter_paused_time,locomotion.motion_events.paused.time_between_events,/worm/locomotion/motion/paused/frames/interTime
paused_motion_time_ratio,locomotion.motion_events.paused.time_ratio,/worm/locomotion/motion/paused/ratio/time
inter_omega_distance,locomotion.omega_turns.distance_between_events,/worm/locomotion/turns/omegas/frames/interDistance
omega_turn_time,locomotion.omega_turns.event_durations,/worm/locomotion/turns/omegas/frames/time
omega_turns_frequency,locomotion.omega_turns.frequency,/worm/locomotion/turns/omegas/frequency
inter_omega_time,locomotion.omega_turns.time_between_events,/worm/locomotion/turns/omegas/frames/interTime
omega_turns_time_ratio,locomotion.omega_turns.time_ratio,/worm/locomotion/turns/omegas/timeRatio
inter_upsilon_distance,locomotion.upsilon_turns.distance_between_events,/worm/locomotion/turns/upsilons/frames/interDistance
upsilon_turn_time,locomotion.upsilon_turns.event_durations,/worm/locomotion/turns/upsilons/frames/time
upsilon_turns_frequency,locomotion.upsilon_turns.frequency,/worm/locomotion/turns/upsilons/frequency
inter_upsilon_time,locomotion.upsilon_turns.time_between_events,/worm/locomotion/turns/upsilons/frames/interTime
upsilon_turns_time_ratio,locomotion.upsilon_turns.time_ratio,/worm/locomotion/turns/upsilons/timeRatio
head_tip_motion_direction,locomotion.velocity.head_tip.direction,/worm/locomotion/velocity/headTip/direction
head_tip_speed,locomotion.velocity.head_tip.speed,/worm/locomotion/velocity/headTip/speed
head_motion_direction,locomotion.velocity.head.direction,/worm/locomotion/velocity/head/direction
head_speed,locomotion.velocity.head.speed,/worm/locomotion/velocity/head/speed
midbody_motion_direction,locomotion.velocity.midbody.direction,/worm/locomotion/velocity/midbody/direction
midbody_speed,locomotion.velocity.midbody.speed,/worm/locomotion/velocity/midbody/speed
tail_tip_motion_direction,locomotion.velocity.tail_tip.direction,/worm/locomotion/velocity/tailTip/direction
tail_tip_speed,locomotion.velocity.tail_tip.speed,/worm/locomotion/velocity/tailTip/speed
tail_motion_direction,locomotion.velocity.tail.direction,/worm/locomotion/velocity/tail/direction
tail_speed,locomotion.velocity.tail.speed,/worm/locomotion/velocity/tail/speed
area,morphology.area,/worm/morphology/area
area_length_ratio,morphology.area_per_length,/worm/morphology/areaPerLength
length,morphology.length,/worm/morphology/length
width_length_ratio,morphology.width_per_length,/worm/morphology/widthPerLength
head_width,morphology.width.head,/worm/morphology/width/head
midbody_width,morphology.width.midbody,/worm/morphology/width/midbody
tail_width,morphology.width.tail,/worm/morphology/width/tail
path_curvature,path.curvature,/worm/path/curvature
head_dwelling,path.duration.head,/worm/path/duration/head/times
midbody_dwelling,path.duration.midbody,/worm/path/duration/midbody/times
tail_dwelling,path.duration.tail,/worm/path/duration/tail/times
worm_dwelling,path.duration.worm,/worm/path/duration/worm/times
path_range,path.range,/worm/path/range
max_amplitude,posture.amplitude_max,/worm/posture/amplitude/max
amplitude_ratio,posture.amplitude_ratio,/worm/posture/amplitude/ratio
head_bend_mean,posture.bends.head.mean,/worm/posture/bends/head/mean
head_bend_sd,posture.bends.head.std_dev,/worm/posture/bends/head/stdDev
hips_bend_mean,posture.bends.hips.mean,/worm/posture/bends/hips/mean
hips_bend_sd,posture.bends.hips.std_dev,/worm/posture/bends/hips/stdDev
midbody_bend_mean,posture.bends.midbody.mean,/worm/posture/bends/midbody/mean
midbody_bend_sd,posture.bends.midbody.std_dev,/worm/posture/bends/midbody/stdDev
neck_bend_mean,posture.bends.neck.mean,/worm/posture/bends/neck/mean
neck_bend_sd,posture.bends.neck.std_dev,/worm/posture/bends/neck/stdDev
tail_bend_mean,posture.bends.tail.mean,/worm/posture/bends/tail/mean
tail_bend_sd,posture.bends.tail.std_dev,/worm/posture/bends/tail/stdDev
inter_coil_distance,posture.coils.distance_between_events,/worm/posture/coils/frames/interDistance
coil_time,posture.coils.event_durations,/worm/posture/coils/frames/time
coils_frequency,posture.coils.frequency,/worm/posture/coils/frequency
inter_coil_time,posture.coils.time_between_events,/worm/posture/coils/frames/interTime
coils_time_ratio,posture.coils.time_ratio,/worm/posture/coils/timeRatio
head_orientation,posture.directions.head,/worm/posture/directions/head
tail_orientation,posture.directions.tail,/worm/posture/directions/tail
tail_to_head_orientation,posture.directions.tail2head,/worm/posture/directions/tail2head
eccentricity,posture.eccentricity,/worm/posture/eccentricity
eigen_projection_1,posture.eigen_projection0,/worm/posture/eigenProjection
eigen_projection_2,posture.eigen_projection1,/worm/posture/eigenProjection
eigen_projection_3,posture.eigen_projection2,/worm/posture/eigenProjection
eigen_projection_4,posture.eigen_projection3,/worm/posture/eigenProjection
eigen_projection_5,posture.eigen_projection4,/worm/posture/eigenProjection
eigen_projection_6,posture.eigen_projection5,/worm/posture/eigenProjection
bend_count,posture.kinks,/worm/posture/kinks
primary_wavelength,posture.primary_wavelength,/worm/posture/wavelength/primary
secondary_wavelength,posture.secondary_wavelength,/worm/posture/wavelength/secondary
track_length,posture.track_length,/worm/posture/tracklength
,,/worm/path/coordinates/x
,,/worm/path/coordinates/y
,,/worm/path/duration/arena/height
,,/worm/path/duration/arena/width
,,/worm/path/duration/head/indices
,,/worm/path/duration/midbody/indices
,,/worm/path/duration/tail/indices
,,/worm/path/duration/worm/indices
,,/worm/path/duration/arena/max/x
,,/worm/path/duration/arena/max/y
,,/worm/path/duration/arena/min/x
,,/worm/path/duration/arena/min/y
,,/worm/locomotion/motion/mode
,,/worm/posture/coils/frames/end
,,/worm/posture/coils/frames/start
,,/worm/locomotion/motion/backward/frames/end
,,/worm/locomotion/motion/backward/frames/start
,,/worm/locomotion/turns/upsilons/frames/end
,,/worm/locomotion/turns/upsilons/frames/isVentral
,,/worm/locomotion/turns/upsilons/frames/start
,,/worm/locomotion/motion/paused/frames/end
,,/worm/locomotion/motion/paused/frames/start
,,/worm/locomotion/motion/forward/frames/end
,,/worm/locomotion/motion/forward/frames/start
,,/worm/posture/skeleton/x
,,/worm/posture/skeleton/y
,,/worm/locomotion/turns/omegas/frames/isVentral
,,/worm/posture/coils/frames
,,/worm/locomotion/motion/forward/frames
,,/worm/locomotion/turns/omegas/frames/end
,,/worm/locomotion/motion/paused/frames
,,/worm/locomotion/motion/paused/ratio
,,/worm/locomotion/turns/omegas/frames/start
,,/worm/locomotion/motion/forward/ratio
,,/worm/locomotion/motion/backward/ratio
,,/worm/locomotion/motion/backward/frames
,,/worm/locomotion/turns/upsilons/frames
,,/worm/locomotion/turns/omegas/frames/time